,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HEALTH ANALYTICS DASHBOARD,,,,,,,,,,,,,,,,,,,,,,Compulsion Type,patient_count,obs_score,,month,patient_count
,,,,,,,,,,,,,,,,,,,,,,,Ordering,285,20.4,,11/1/2013 0:00,9
,DIAGNOSIS MoM,,,,,,,,,,,,,,,,,,,,,,Praying,286,20.08,,12/1/2013 0:00,9
,,,,,,,,,,,,,,,,,,,,,,,Checking,292,19.99,,1/1/2014 0:00,13
,,,,,,,,,,,,,,,,,,,,,,,Counting,316,20.41,,2/1/2014 0:00,13
,,,,,,,,,,,,,,,,,,,,,,,Washing,321,19.4,,3/1/2014 0:00,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,4/1/2014 0:00,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,5/1/2014 0:00,11
,,,,,,,,,,,,,,,,,,,,,,,Ethnicity,patient_count,obs_score,,6/1/2014 0:00,9
,,,,,,,,,,,,,,,,,,,,,,,African,324,19.7593,,7/1/2014 0:00,11
,,,,,,,,,,,,,,,,,,,,,,,Asian,386,20.3161,,8/1/2014 0:00,10
,,,,,,,,,,,,,,,,,,,,,,,Hispanic,392,20.2832,,9/1/2014 0:00,12
,,,,,,,,,,,,,,,,,,,,,,,Caucasian,398,19.7915,,10/1/2014 0:00,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,11/1/2014 0:00,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,12/1/2014 0:00,14
,,,,,,,,,,,,,,,,,,,,,,,Gender,patient_count,avg_obs_score,,1/1/2015 0:00,16
,,,,,,,,,,,,,,,,,,,,,,,Female,747,20.2,,2/1/2015 0:00,10
,,,,,,,,,,,,,,,,,,,,,,,Male,753,19.9,,3/1/2015 0:00,12
,COMPULSION TYPE ,,,,,,,,,ETHNICITY,,,,,,,,,,,,,,,,,4/1/2015 0:00,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,5/1/2015 0:00,12
,,,,,,,,,,,,,,,,,,,,,,,Obsession Type,patient_count,obs_score,,6/1/2015 0:00,14
,,,,,,,,,,,,,,,,,,,,,,,Hoarding,278,21.01,,7/1/2015 0:00,12
,,,,,,,,,,,,,,,,,,,,,,,Symmetry,280,19.67,,8/1/2015 0:00,14
